Aux out [V]	Aux in [V]	PDH out [a.u.]
-3.0842E-1	7.6521E-1	-1.9000E+2
-3.0759E-1	7.6643E-1	-1.4000E+2
-3.0677E-1	7.6546E-1	6.7000E+1
-3.0583E-1	7.6619E-1	-7.9200E+2
-3.0489E-1	7.6643E-1	-2.7000E+2
-3.0406E-1	7.6351E-1	-7.5100E+2
-3.0324E-1	7.6594E-1	-4.2800E+2
-3.0242E-1	7.6667E-1	9.1000E+1
-3.0159E-1	7.6521E-1	-3.0900E+2
-3.0065E-1	7.6570E-1	3.9000E+1
-2.9983E-1	7.6619E-1	-2.9400E+2
-2.9900E-1	7.6546E-1	1.1100E+2
-2.9818E-1	7.6692E-1	-1.7000E+2
-2.9736E-1	7.6594E-1	-1.8200E+2
-2.9642E-1	7.6521E-1	-7.0400E+2
-2.9559E-1	7.6570E-1	-5.6700E+2
-2.9477E-1	7.6667E-1	-1.1500E+3
-2.9395E-1	7.6619E-1	-8.8400E+2
-2.9312E-1	7.6546E-1	-3.8200E+2
-2.9218E-1	7.6570E-1	-8.9200E+2
-2.9136E-1	7.6643E-1	-4.4700E+2
-2.9053E-1	7.6594E-1	-1.0570E+3
-2.8959E-1	7.6619E-1	-8.0600E+2
-2.8877E-1	7.6546E-1	-2.9100E+2
-2.8783E-1	7.6594E-1	-2.7800E+2
-2.8700E-1	7.6716E-1	-7.4600E+2
-2.8618E-1	7.6424E-1	-5.5700E+2
-2.8536E-1	7.6716E-1	-2.7600E+2
-2.8453E-1	7.6497E-1	-2.6000E+2
-2.8359E-1	7.6692E-1	-8.0800E+2
-2.8277E-1	7.6497E-1	4.5200E+2
-2.8194E-1	7.6449E-1	-2.1300E+2
-2.8112E-1	7.6449E-1	1.4000E+1
-2.8030E-1	7.6521E-1	-2.3800E+2
-2.7947E-1	7.6473E-1	-5.8700E+2
-2.7853E-1	7.6594E-1	-7.7300E+2
-2.7771E-1	7.6473E-1	-3.3200E+2
-2.7689E-1	7.6473E-1	-4.7700E+2
-2.7606E-1	7.6546E-1	-9.1400E+2
-2.7512E-1	7.6546E-1	-4.0800E+2
-2.7430E-1	7.6424E-1	-3.7100E+2
-2.7336E-1	7.6594E-1	-3.1900E+2
-2.7253E-1	7.6521E-1	-3.8300E+2
-2.7171E-1	7.6594E-1	3.8400E+2
-2.7088E-1	7.6546E-1	4.3000E+1
-2.6994E-1	7.6716E-1	-3.3700E+2
-2.6912E-1	7.6594E-1	-1.1870E+3
-2.6830E-1	7.6497E-1	-3.5500E+2
-2.6747E-1	7.6521E-1	-5.0500E+2
-2.6665E-1	7.6667E-1	-1.0950E+3
-2.6571E-1	7.6449E-1	-3.4200E+2
-2.6488E-1	7.6497E-1	-2.8800E+2
-2.6406E-1	7.6716E-1	-6.5400E+2
-2.6324E-1	7.6546E-1	-5.3800E+2
-2.6241E-1	7.6692E-1	-7.5000E+2
-2.6147E-1	7.6473E-1	-6.4300E+2
-2.6065E-1	7.6619E-1	-1.1500E+2
-2.5983E-1	7.6570E-1	-2.9800E+2
-2.5888E-1	7.6449E-1	2.7500E+2
-2.5806E-1	7.6570E-1	-3.7400E+2
-2.5724E-1	7.6424E-1	9.0000E+0
-2.5630E-1	7.6594E-1	-4.1400E+2
-2.5547E-1	7.6521E-1	-5.5100E+2
-2.5465E-1	7.6521E-1	-2.3600E+2
-2.5382E-1	7.6570E-1	-7.4100E+2
-2.5300E-1	7.6449E-1	-1.7300E+2
-2.5206E-1	7.6497E-1	-3.7500E+2
-2.5124E-1	7.6619E-1	-8.0100E+2
-2.5041E-1	7.6570E-1	-3.2000E+2
-2.4959E-1	7.6570E-1	9.3000E+1
-2.4877E-1	7.6667E-1	4.2000E+1
