Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.4,
Horizontal Delay,0,
Sample Interval,0.004,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,0,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
1.280e-01,2.24,0.23
1.320e-01,2.32,0.23
1.360e-01,2.32,0.25
1.400e-01,2.48,0.27
1.440e-01,2.4,0.27
1.480e-01,2.4,0.29
1.520e-01,2.48,0.29
1.560e-01,2.4,0.31
1.600e-01,2.4,0.33
1.640e-01,2.48,0.31
1.680e-01,2.48,0.33
1.720e-01,2.48,0.35
1.760e-01,2.48,0.35
1.800e-01,2.48,0.35
1.840e-01,2.56,0.37
1.880e-01,2.56,0.41
1.920e-01,2.56,0.41
1.960e-01,2.56,0.43
2.000e-01,2.56,0.45
2.040e-01,2.56,0.45
2.080e-01,2.64,0.47
2.120e-01,2.64,0.49
2.160e-01,2.64,0.49
2.200e-01,2.64,0.51
2.240e-01,2.72,0.51
2.280e-01,2.64,0.55
2.320e-01,2.72,0.55
2.360e-01,2.8,0.55
2.400e-01,2.8,0.57
2.440e-01,2.8,0.59
2.480e-01,2.8,0.61
2.520e-01,2.8,0.65
2.560e-01,2.72,0.65
2.600e-01,2.72,0.65
2.640e-01,2.88,0.69
2.680e-01,2.96,0.69
2.720e-01,2.96,0.71
2.760e-01,2.96,0.71
2.800e-01,2.96,0.71
2.840e-01,2.88,0.75
2.880e-01,3.04,0.77
2.920e-01,2.96,0.79
2.960e-01,2.96,0.83
3.000e-01,3.04,0.83
3.040e-01,2.96,0.87
3.080e-01,3.04,0.85
3.120e-01,3.12,0.89
3.160e-01,3.12,0.93
3.200e-01,3.12,0.91
3.240e-01,3.12,0.93
3.280e-01,3.12,0.97
3.320e-01,3.2,0.97
3.360e-01,3.2,0.99
3.400e-01,3.28,0.99
3.440e-01,3.2,1.01
3.480e-01,3.28,1.03
3.520e-01,3.28,1.03
3.560e-01,3.28,1.05
3.600e-01,3.28,1.07
3.640e-01,3.28,1.05
3.680e-01,3.36,1.07
3.720e-01,3.36,1.09
3.760e-01,3.36,1.11
3.800e-01,3.44,1.09
3.840e-01,3.44,1.09
3.880e-01,3.52,1.09
3.920e-01,3.52,1.11
3.960e-01,3.52,1.11
4.000e-01,3.52,1.13
4.040e-01,3.52,1.11
4.080e-01,3.44,1.11
4.120e-01,3.52,1.09
4.160e-01,3.52,1.09
4.200e-01,3.6,1.09
4.240e-01,3.6,1.11
4.280e-01,3.6,1.09
4.320e-01,3.68,1.09
4.360e-01,3.6,1.09
4.400e-01,3.68,1.11
4.440e-01,3.76,1.07
4.480e-01,3.76,1.07
4.520e-01,3.68,1.05
4.560e-01,3.76,1.07
4.600e-01,3.84,1.05
4.640e-01,3.76,1.05
4.680e-01,3.84,1.03
4.720e-01,3.84,1.03
4.760e-01,3.92,1.03
4.800e-01,3.84,1.01
4.840e-01,3.84,1.03
4.880e-01,3.92,1.01
4.920e-01,4,1.01
4.960e-01,4,0.99
5.000e-01,4,0.99
5.040e-01,4,0.99
5.080e-01,4,0.99
5.120e-01,4,0.97
5.160e-01,3.92,0.97
5.200e-01,4,0.95
5.240e-01,4.08,0.97
5.280e-01,4.08,0.95
5.320e-01,4.08,0.89
5.360e-01,4.16,0.89
5.400e-01,4.24,0.89
5.440e-01,4.16,0.87
5.480e-01,4.16,0.87
5.520e-01,4.16,0.85
5.560e-01,4.16,0.81
5.600e-01,4.24,0.81
5.640e-01,4.24,0.79
5.680e-01,4.32,0.77
5.720e-01,4.24,0.77
5.760e-01,4.32,0.73
5.800e-01,4.32,0.71
5.840e-01,4.32,0.69
5.880e-01,4.4,0.65
5.920e-01,4.4,0.65
