Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.2,
Horizontal Delay,0,
Sample Interval,0.002,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.2
Vertical Position,0,-5
,,
,,
,,
Label,,
TIME,CH1,CH2
7.600e-02,4.48438,1.20794
7.800e-02,4.475,1.20863
8.000e-02,4.46344,1.20847
8.200e-02,4.45437,1.20981
8.400e-02,4.44406,1.21128
8.600e-02,4.43313,1.21306
8.800e-02,4.42469,1.21344
9.000e-02,4.41469,1.21362
9.200e-02,4.40375,1.21422
9.400e-02,4.39281,1.2155
9.600e-02,4.3825,1.21697
9.800e-02,4.3725,1.21703
1.000e-01,4.36375,1.2175
1.020e-01,4.35156,1.21828
1.040e-01,4.33969,1.22006
1.060e-01,4.33125,1.22109
1.080e-01,4.31813,1.22138
1.100e-01,4.305,1.221
1.120e-01,4.29625,1.22156
1.140e-01,4.28563,1.22272
1.160e-01,4.27469,1.22381
1.180e-01,4.26438,1.22372
1.200e-01,4.25375,1.22341
1.220e-01,4.2425,1.22394
1.240e-01,4.2325,1.22522
1.260e-01,4.22156,1.22606
1.280e-01,4.21375,1.22581
1.300e-01,4.20125,1.22528
1.320e-01,4.19062,1.22572
1.340e-01,4.17906,1.22653
1.360e-01,4.16781,1.22716
1.380e-01,4.15469,1.22684
1.400e-01,4.14469,1.2265
1.420e-01,4.13594,1.22659
1.440e-01,4.12375,1.22759
1.460e-01,4.11125,1.22809
1.480e-01,4.10125,1.22791
1.500e-01,4.09094,1.22722
1.520e-01,4.08031,1.22728
1.540e-01,4.06906,1.22778
1.560e-01,4.0575,1.22816
1.580e-01,4.04906,1.22769
1.600e-01,4.0375,1.22684
1.620e-01,4.02719,1.22666
1.640e-01,4.01625,1.22747
1.660e-01,4.00625,1.22731
1.680e-01,3.99531,1.22737
1.700e-01,3.98438,1.22637
1.720e-01,3.97531,1.22444
1.740e-01,3.96344,1.22441
1.760e-01,3.95125,1.22519
1.780e-01,3.94,1.22475
1.800e-01,3.93063,1.22397
1.820e-01,3.92,1.22362
1.840e-01,3.90844,1.22428
1.860e-01,3.89875,1.22412
1.880e-01,3.88594,1.22347
1.900e-01,3.87719,1.22219
1.920e-01,3.86563,1.22178
1.940e-01,3.85625,1.22169
1.960e-01,3.84625,1.22184
1.980e-01,3.83594,1.22044
2.000e-01,3.82594,1.21922
2.020e-01,3.81719,1.21803
2.040e-01,3.80781,1.21859
2.060e-01,3.79937,1.21797
2.080e-01,3.78844,1.21681
2.100e-01,3.78,1.21509
2.120e-01,3.76844,1.21425
2.140e-01,3.75813,1.21425
2.160e-01,3.74812,1.21384
2.180e-01,3.74031,1.21234
2.200e-01,3.73,1.21075
2.220e-01,3.72031,1.20966
2.240e-01,3.71156,1.20941
2.260e-01,3.70281,1.20916
2.280e-01,3.69063,1.20772
2.300e-01,3.67969,1.20691
2.320e-01,3.66812,1.20544
2.340e-01,3.65344,1.20566
2.360e-01,3.64375,1.20466
2.380e-01,3.63219,1.20388
2.400e-01,3.62281,1.20141
2.420e-01,3.61344,1.201
2.440e-01,3.60188,1.19994
2.460e-01,3.58969,1.20022
2.480e-01,3.58156,1.198
2.500e-01,3.57375,1.19675
2.520e-01,3.56312,1.19478
2.540e-01,3.55219,1.19519
2.560e-01,3.54031,1.19338
2.580e-01,3.53031,1.19284
2.600e-01,3.52094,1.19013
2.620e-01,3.51031,1.18959
2.640e-01,3.49594,1.18844
2.660e-01,3.48438,1.18844
2.680e-01,3.47344,1.18578
2.700e-01,3.46437,1.18475
2.720e-01,3.45406,1.18291
2.740e-01,3.4425,1.18281
2.760e-01,3.43,1.18175
2.780e-01,3.4175,1.18031
2.800e-01,3.40531,1.178
2.820e-01,3.39656,1.17628
2.840e-01,3.38437,1.17619
2.860e-01,3.375,1.17566
2.880e-01,3.36313,1.17456
2.900e-01,3.35094,1.17272
2.920e-01,3.34219,1.17172
2.940e-01,3.32875,1.17022
2.960e-01,3.31906,1.17047
2.980e-01,3.30969,1.16797
3.000e-01,3.3,1.16688
3.020e-01,3.29188,1.16469
3.040e-01,3.27937,1.16509
3.060e-01,3.27,1.16112
3.080e-01,3.25906,1.15841
3.100e-01,3.24906,1.15966
3.120e-01,3.23875,1.15956
3.140e-01,3.22562,1.15753
3.160e-01,3.21625,1.15778
3.180e-01,3.20594,1.15484
3.200e-01,3.19437,1.15459
3.220e-01,3.18375,1.15231
3.240e-01,3.17344,1.15263
3.260e-01,3.16156,1.15088
3.280e-01,3.15,1.15056
3.300e-01,3.13938,1.14791
3.320e-01,3.12813,1.14769
3.340e-01,3.11844,1.14703
3.360e-01,3.10719,1.14675
3.380e-01,3.09625,1.14519
3.400e-01,3.08469,1.14356
3.420e-01,3.07469,1.14275
3.440e-01,3.06438,1.14231
3.460e-01,3.05313,1.14228
3.480e-01,3.04219,1.14059
3.500e-01,3.03344,1.13944
3.520e-01,3.0225,1.13762
3.540e-01,3.0125,1.13819
3.560e-01,2.99938,1.13672
3.580e-01,2.99,1.13653
3.600e-01,2.97969,1.13397
3.620e-01,2.96969,1.13431
3.640e-01,2.95875,1.13306
3.660e-01,2.94813,1.13431
3.680e-01,2.93844,1.13172
3.700e-01,2.92937,1.13112
3.720e-01,2.9175,1.12938
3.740e-01,2.90531,1.13003
3.760e-01,2.89281,1.12956
3.780e-01,2.88281,1.12925
3.800e-01,2.87406,1.12731
3.820e-01,2.86156,1.12753
3.840e-01,2.8475,1.12722
3.860e-01,2.83688,1.12738
3.880e-01,2.82969,1.12681
3.900e-01,2.82031,1.12522
3.920e-01,2.80938,1.12541
3.940e-01,2.79875,1.12519
3.960e-01,2.78719,1.12613
3.980e-01,2.7775,1.12441
4.000e-01,2.77125,1.12413
4.020e-01,2.75906,1.12278
4.040e-01,2.74812,1.1245
4.060e-01,2.73719,1.12387
4.080e-01,2.72781,1.12459
4.100e-01,2.71781,1.12284
