Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.4,
Horizontal Delay,0,
Sample Interval,0.004,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,0,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
6.880e-01,0.72,2.52
6.920e-01,0.64,2.52
6.960e-01,0.72,2.44
7.000e-01,0.72,2.44
7.040e-01,0.8,2.36
7.080e-01,0.8,2.52
7.120e-01,0.8,2.52
7.160e-01,0.8,2.36
7.200e-01,0.8,2.2
7.240e-01,0.88,2.2
7.280e-01,0.8,2.04
7.320e-01,0.88,1.96
7.360e-01,0.88,1.88
7.400e-01,0.96,1.8
7.440e-01,0.96,1.72
7.480e-01,0.96,1.64
7.520e-01,1.04,1.56
7.560e-01,1.04,1.64
7.600e-01,1.04,1.56
7.640e-01,1.12,1.56
7.680e-01,1.04,1.56
7.720e-01,1.12,1.56
7.760e-01,1.12,1.56
7.800e-01,1.04,1.64
7.840e-01,1.12,1.64
7.880e-01,1.12,1.72
7.920e-01,1.2,1.64
7.960e-01,1.2,1.56
8.000e-01,1.2,1.56
8.040e-01,1.2,1.56
8.080e-01,1.2,1.56
8.120e-01,1.28,1.56
8.160e-01,1.28,1.56
8.200e-01,1.28,1.4
8.240e-01,1.28,1.4
8.280e-01,1.36,1.4
8.320e-01,1.44,1.32
8.360e-01,1.28,1.32
8.400e-01,1.44,1.32
8.440e-01,1.36,1.32
8.480e-01,1.36,1.4
8.520e-01,1.44,1.48
8.560e-01,1.44,1.56
8.600e-01,1.44,1.56
8.640e-01,1.52,1.64
8.680e-01,1.52,1.48
8.720e-01,1.44,1.64
8.760e-01,1.52,1.72
8.800e-01,1.44,1.64
8.840e-01,1.52,1.56
8.880e-01,1.6,1.56
8.920e-01,1.68,1.48
8.960e-01,1.6,1.4
9.000e-01,1.68,1.4
9.040e-01,1.68,1.4
9.080e-01,1.68,1.56
9.120e-01,1.68,1.48
9.160e-01,1.76,1.56
9.200e-01,1.76,1.72
9.240e-01,1.84,1.72
9.280e-01,1.76,1.72
9.320e-01,1.76,1.72
9.360e-01,1.84,1.8
9.400e-01,1.92,1.8
9.440e-01,1.92,1.8
9.480e-01,1.84,1.96
9.520e-01,1.92,2.04
9.560e-01,1.92,2.2
9.600e-01,1.92,2.36
9.640e-01,2,2.44
9.680e-01,1.92,2.68
9.720e-01,2,2.76
9.760e-01,2,2.84
9.800e-01,2.08,2.84
9.840e-01,2,2.92
9.880e-01,2,3
9.920e-01,2,3.08
9.960e-01,2.08,3
1.000e+00,2.08,3
1.004e+00,2.24,3
1.008e+00,2.16,3.08
1.012e+00,2.16,3.24
1.016e+00,2.24,3.32
1.020e+00,2.16,3.48
1.024e+00,2.32,3.72
1.028e+00,2.32,3.88
1.032e+00,2.24,3.88
1.036e+00,2.32,3.88
1.040e+00,2.24,3.88
1.044e+00,2.32,3.96
1.048e+00,2.32,3.96
1.052e+00,2.32,3.72
1.056e+00,2.4,3.56
1.060e+00,2.4,3.64
1.064e+00,2.48,3.8
1.068e+00,2.4,3.64
1.072e+00,2.48,3.72
1.076e+00,2.48,3.72
1.080e+00,2.48,3.8
1.084e+00,2.4,3.96
1.088e+00,2.48,4.12
1.092e+00,2.56,4.04
1.096e+00,2.56,4.04
1.100e+00,2.56,4.04
1.104e+00,2.56,4.04
1.108e+00,2.64,4.12
1.112e+00,2.64,3.96
1.116e+00,2.64,4.04
1.120e+00,2.72,3.96
1.124e+00,2.64,4.04
1.128e+00,2.72,4.2
1.132e+00,2.72,4.12
1.136e+00,2.72,4.36
1.140e+00,2.72,4.2
1.144e+00,2.72,4.28
1.148e+00,2.72,4.36
1.152e+00,2.72,4.6
1.156e+00,2.88,4.84
1.160e+00,2.88,4.92
1.164e+00,2.8,5
1.168e+00,2.8,5.08
1.172e+00,2.8,5.16
1.176e+00,2.88,5.24
1.180e+00,2.96,5.24
1.184e+00,2.96,5.24
1.188e+00,2.96,5.08
1.192e+00,3.04,5.16
1.196e+00,2.96,5.08
1.200e+00,2.96,4.76
1.204e+00,3.12,4.52
1.208e+00,3.04,4.2
1.212e+00,2.96,4.12
1.216e+00,3.12,3.96
1.220e+00,3.12,3.88
1.224e+00,3.12,4.04
1.228e+00,3.04,4.04
1.232e+00,3.12,4.6
1.236e+00,3.2,4.68
1.240e+00,3.2,4.76
1.244e+00,3.28,4.84
1.248e+00,3.2,4.84
1.252e+00,3.2,4.76
1.256e+00,3.28,4.76
1.260e+00,3.36,4.68
1.264e+00,3.28,4.6
1.268e+00,3.36,4.2
1.272e+00,3.36,4.12
1.276e+00,3.36,4.12
1.280e+00,3.36,4.12
1.284e+00,3.36,4.12
1.288e+00,3.36,3.96
1.292e+00,3.44,4.04
1.296e+00,3.44,3.96
1.300e+00,3.44,3.96
1.304e+00,3.52,3.96
1.308e+00,3.52,3.88
1.312e+00,3.6,3.8
1.316e+00,3.52,3.72
1.320e+00,3.6,3.64
1.324e+00,3.6,3.48
1.328e+00,3.6,3.48
1.332e+00,3.6,3.24
1.336e+00,3.68,3.16
1.340e+00,3.68,3.08
1.344e+00,3.68,2.92
1.348e+00,3.76,2.76
1.352e+00,3.76,2.52
1.356e+00,3.68,2.36
1.360e+00,3.76,2.36
