Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,0.004
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,REF1
1.308e+00,2.7225
1.312e+00,2.71375
1.316e+00,2.70219
1.320e+00,2.69188
1.324e+00,2.67969
1.328e+00,2.665
1.332e+00,2.65656
1.336e+00,2.64469
1.340e+00,2.63625
1.344e+00,2.62656
1.348e+00,2.61437
1.352e+00,2.60656
1.356e+00,2.59469
1.360e+00,2.58406
1.364e+00,2.57406
1.368e+00,2.56219
1.372e+00,2.55281
1.376e+00,2.54281
1.380e+00,2.53438
1.384e+00,2.52563
1.388e+00,2.515
1.392e+00,2.50406
1.396e+00,2.49438
1.400e+00,2.48438
1.404e+00,2.4775
1.408e+00,2.47063
1.412e+00,2.46406
1.416e+00,2.45562
1.420e+00,2.44719
1.424e+00,2.43875
1.428e+00,2.42844
1.432e+00,2.4175
1.436e+00,2.40531
1.440e+00,2.395
1.444e+00,2.38563
1.448e+00,2.37188
1.452e+00,2.3625
1.456e+00,2.35219
1.460e+00,2.34
1.464e+00,2.32906
1.468e+00,2.32063
1.472e+00,2.31281
1.476e+00,2.30094
1.480e+00,2.29062
1.484e+00,2.2825
1.488e+00,2.27219
1.492e+00,2.26219
1.496e+00,2.25281
1.500e+00,2.24125
1.504e+00,2.23188
1.508e+00,2.22031
1.512e+00,2.20938
1.516e+00,2.20063
1.520e+00,2.18906
1.524e+00,2.175
1.528e+00,2.16344
1.532e+00,2.15406
1.536e+00,2.1425
1.540e+00,2.13125
1.544e+00,2.12125
1.548e+00,2.10906
1.552e+00,2.09813
1.556e+00,2.08719
1.560e+00,2.07875
1.564e+00,2.06906
1.568e+00,2.05531
1.572e+00,2.04438
1.576e+00,2.03344
1.580e+00,2.02188
1.584e+00,2.01094
1.588e+00,1.99938
1.592e+00,1.99125
1.596e+00,1.97969
1.600e+00,1.96906
1.604e+00,1.96125
1.608e+00,1.95094
1.612e+00,1.93781
1.616e+00,1.9275
1.620e+00,1.91688
1.624e+00,1.90531
1.628e+00,1.89344
1.632e+00,1.88281
1.636e+00,1.87187
1.640e+00,1.86062
1.644e+00,1.8475
1.648e+00,1.83813
1.652e+00,1.8275
1.656e+00,1.81906
1.660e+00,1.80719
1.664e+00,1.8
1.668e+00,1.78625
1.672e+00,1.7775
1.676e+00,1.76594
1.680e+00,1.75562
1.684e+00,1.74438
1.688e+00,1.73469
1.692e+00,1.72531
1.696e+00,1.71469
1.700e+00,1.70531
1.704e+00,1.69531
1.708e+00,1.68375
1.712e+00,1.67281
1.716e+00,1.66187
1.720e+00,1.65031
1.724e+00,1.64
1.728e+00,1.63
1.732e+00,1.62
1.736e+00,1.60344
1.740e+00,1.59469
1.744e+00,1.58563
1.748e+00,1.57469
1.752e+00,1.56594
1.756e+00,1.555
1.760e+00,1.54031
1.764e+00,1.53125
1.768e+00,1.52031
1.772e+00,1.51156
1.776e+00,1.50094
1.780e+00,1.49063
1.784e+00,1.47813
1.788e+00,1.46813
1.792e+00,1.45875
1.796e+00,1.44813
1.800e+00,1.43781
1.804e+00,1.42781
1.808e+00,1.41906
1.812e+00,1.41125
1.816e+00,1.40063
1.820e+00,1.38938
1.824e+00,1.38031
1.828e+00,1.36938
1.832e+00,1.3575
1.836e+00,1.34281
1.840e+00,1.33375
1.844e+00,1.325
1.848e+00,1.31281
1.852e+00,1.30156
1.856e+00,1.29
1.860e+00,1.27937
1.864e+00,1.26844
1.868e+00,1.25875
1.872e+00,1.25031
1.876e+00,1.23875
1.880e+00,1.22844
1.884e+00,1.22063
1.888e+00,1.20781
1.892e+00,1.19906
1.896e+00,1.19125
1.900e+00,1.18031
1.904e+00,1.17188
1.908e+00,1.16094
1.912e+00,1.14719
1.916e+00,1.13844
1.920e+00,1.13
1.924e+00,1.12125
1.928e+00,1.10969
1.932e+00,1.09813
1.936e+00,1.08688
1.940e+00,1.07469
1.944e+00,1.06313
1.948e+00,1.05281
1.952e+00,1.04031
1.956e+00,1.0325
1.960e+00,1.0225
1.964e+00,1.01156
1.968e+00,0.999063
1.972e+00,0.990625
1.976e+00,0.981563
1.980e+00,0.970313
1.984e+00,0.960938
1.988e+00,0.949688
1.992e+00,0.939375
1.996e+00,0.932188

